#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:primates" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:primates" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:primates">
#                <taxonset id="TaxonSet.primates" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:primates" name="distribution" x="@birthRate.t:primates">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@primates" id="treeLikelihood.primates" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:primates">
#            <siteModel id="SiteModel.s:primates" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:primates" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:primates" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:primates" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:primates" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:primates" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:primates" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-2005.0600413851903	-1998.7777535809041	-2005.0600413851903	6.28228780428611	-2005.0600413851903	0.06924678585386522	6.28228780428611	7.230262146310409
1	-1977.4218765172657	-1968.082908942513	-1977.4218765172657	9.338967574752557	-1977.4218765172657	0.04225927911735607	9.338967574752557	20.500979048675624
2	-1974.0550840873902	-1971.1987410235918	-1974.0550840873902	2.8563430637983913	-1974.0550840873902	0.05304258674891948	2.8563430637983913	55.826276870487995
3	-1968.4578017279796	-1959.0512012880245	-1968.4578017279796	9.40660043995517	-1968.4578017279796	0.042407871895104775	9.40660043995517	21.367316266965602
4	-1963.9965683738883	-1956.8121673363219	-1963.9965683738883	7.184401037566468	-1963.9965683738883	0.07971227037540599	7.184401037566468	14.90056678985317
5	-1951.8313433547971	-1945.1173427197525	-1951.8313433547971	6.714000635044557	-1951.8313433547971	0.05802406821705082	6.714000635044557	31.21136224083375
6	-1944.2685667972912	-1935.2884553945596	-1944.2685667972912	8.980111402731518	-1944.2685667972912	0.03969043578913346	8.980111402731518	32.45918008645552
7	-1936.7368955225122	-1930.0020419142566	-1936.7368955225122	6.734853608255767	-1936.7368955225122	0.05688738284290335	6.734853608255767	9.196150241809672
8	-1928.4538335969223	-1920.887761679141	-1928.4538335969223	7.566071917781335	-1928.4538335969223	0.05690349548570901	7.566071917781335	17.213975911469017
9	-1927.386476555746	-1920.334963881565	-1927.386476555746	7.051512674180914	-1927.386476555746	0.05625152231803811	7.051512674180914	10.075642813289836
10	-1926.3897807505891	-1918.9490977034277	-1926.3897807505891	7.44068304716142	-1926.3897807505891	0.05751915929836462	7.44068304716142	17.929981464625612
